,0: 0.0E+00 0.0E+00,1: 0.0E+00 0.0E+00,2: 0.0E+00 0.0E+00,3: 0.0E+00 0.0E+00,4: 0.0E+00 0.0E+00,5: 0.0E+00 0.0E+00
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.000776895,8.10336e-05,0.00101607,0.00194188,-0.00237511,-0.00403155
0.4,-0.000428341,-0.000469085,0.00107039,0.0039134,-0.00233534,-0.00737393
0.6,-0.000255981,-0.000659911,0.00257513,0.00360021,-0.00349968,-0.00924158
0.8,-0.000222782,-0.0016222,0.00264284,0.00383493,-0.0045941,-0.0101847
1.0,0.000541178,-0.00127566,0.00348334,0.00349215,-0.00461665,-0.0106998
1.2,0.00040071,-0.00187508,0.00448034,0.00316108,-0.00492222,-0.0114526
1.4,0.000487598,-0.00203574,0.0046729,0.00262745,-0.00580293,-0.011092
1.6,-0.000419629,-0.00189436,0.00432893,0.00328783,-0.00579884,-0.0116381
1.8,-0.000467818,-0.00141982,0.00575917,0.00323017,-0.00601546,-0.0119984
2.0,-0.00162679,-0.0013798,0.00619993,0.00449231,-0.00609822,-0.0119106
2.2,-0.00187449,-0.000873831,0.00505623,0.0044976,-0.00558545,-0.0108724
2.4,-0.00240289,-0.00061629,0.00553238,0.00478274,-0.00509053,-0.0107441
2.6,-0.00218013,-0.000978554,0.00541058,0.00456206,-0.0056438,-0.0106286
2.8,-0.00345682,-0.000763704,0.0046327,0.00477357,-0.00475541,-0.0101535
3.0,-0.0030345,-0.00148318,0.00394148,0.0033467,-0.0042934,-0.0118467
3.2,-0.00336514,-0.00162562,0.00493791,0.00316086,-0.00404409,-0.0119772
3.4,-0.00297542,-0.00108577,0.00487036,0.00333155,-0.00345061,-0.0117814
3.6,-0.00376093,-7.69518e-06,0.00516008,0.00283569,-0.00239547,-0.0109557
3.8,-0.00307694,0.000101146,0.00525269,0.00227763,-0.00261762,-0.0110037
4.0,-0.0036263,0.000246345,0.0055335,0.00300563,-0.00318948,-0.0094608
4.2,-0.00345034,0.000289009,0.00533866,0.00412881,-0.00347002,-0.00932838
4.4,-0.0036954,-0.000363002,0.00523467,0.00254879,-0.00406127,-0.00969986
4.6,-0.00366549,-0.00121347,0.00493939,0.0029541,-0.00540955,-0.00931099
4.8,-0.00391497,-0.00217877,0.00438218,0.00386066,-0.00607269,-0.00987011
5.0,-0.00394487,-0.00255596,0.00387328,0.00261743,-0.00660258,-0.0101785
5.2,-0.0040425,-0.0021792,0.0042997,0.00106962,-0.0071944,-0.0100175
5.4,-0.00568441,-0.0022721,0.00396007,0.00230456,-0.00749248,-0.00957632
5.6,-0.00539028,-0.00245542,0.00464458,0.00211232,-0.00663618,-0.00986589
5.8,-0.00481704,-0.00170604,0.00509784,0.00109769,-0.00647264,-0.00974183
6.0,-0.00426725,-0.00185992,0.00533159,0.00191927,-0.00609257,-0.00884371
6.2,-0.0047346,-0.00213118,0.00466304,0.00134576,-0.00609896,-0.00877257
6.4,-0.00313801,-0.00214475,0.00461339,3.00698e-05,-0.00661999,-0.00870435
6.6,-0.00324158,-0.000869582,0.00364356,0.000114282,-0.00619384,-0.00919327
6.8,-0.00367973,-0.000816467,0.0038858,0.000287175,-0.00710131,-0.00845792
7.0,-0.00405303,0.000247981,0.00307107,0.000425275,-0.00686601,-0.00892554
7.2,-0.0041929,0.000280402,0.00270814,0.00114767,-0.00610305,-0.00992317
7.4,-0.00514268,8.49994e-05,0.00304603,0.00191036,-0.00650943,-0.00993092
7.6,-0.00476397,0.00112579,0.00337305,0.00143828,-0.00687154,-0.010461
7.8,-0.00513193,0.000613866,0.00284118,0.000886665,-0.00608528,-0.0106952
8.0,-0.00551115,-0.00041758,0.00322798,0.000462345,-0.00640101,-0.0107534
8.2,-0.00527759,-0.00110235,0.00290105,0.000359347,-0.00702791,-0.00906428
8.4,-0.00543236,-0.00176665,0.00219754,0.000320306,-0.00660082,-0.00899389
8.6,-0.00572116,-0.00235682,0.00128073,0.000749853,-0.00668238,-0.00778929
8.8,-0.0061761,-0.00250461,0.00181192,0.00150992,-0.00715816,-0.00771106
9.0,-0.00595915,-0.00251649,0.00144957,0.00113417,-0.00724376,-0.00789632
9.2,-0.00602763,-0.00127999,0.00177966,0.00161488,-0.00737288,-0.00886116
9.4,-0.00624548,-0.000895274,0.00210755,0.00159891,-0.00693772,-0.008554
9.6,-0.00654165,-0.000987225,0.00192296,0.0014895,-0.00726658,-0.00891805
9.8,-0.00602025,-0.00105914,0.00151129,0.00122013,-0.00587699,-0.00844153
10.0,-0.00597063,-0.00147694,0.00156609,0.00134737,-0.00673138,-0.00858616
10.2,-0.00584461,-0.00187617,0.00173287,0.00127059,-0.00665225,-0.0081834
10.4,-0.00601162,-0.00191841,0.00170295,0.000809711,-0.00747014,-0.00826283
10.6,-0.00580561,-0.00176803,0.00249212,0.000720217,-0.00694576,-0.00733173
10.8,-0.00678674,-0.00261644,0.00233307,-0.000241506,-0.00723191,-0.00799507
11.0,-0.00696153,-0.00129466,0.00269764,-0.000276947,-0.00691596,-0.0069718
11.2,-0.00674737,-0.00164578,0.00208026,-0.00115132,-0.00627837,-0.00650671
