Time (s), Binding (nm)
0, 0, Step 1
0.2, 0.00444418
0.4, 0.00310252
0.6, 0.00325204
0.8, 0.00337326
1, 0.0037838
1.2, 0.00200726
1.4, 0.00339669
1.6, 0.00414033
1.8, 0.00397021
2, 0.00343045
2.2, 0.00346497
2.4, 0.00342842
2.6, 0.00339272
2.8, 0.00274054
3, 0.00307577
3.2, 0.00366499
3.4, 0.00204485
3.6, 0.00218348
3.8, 0.00258966
4, 0.00143385
4.2, 0.00195516
4.4, 0.00247291
4.6, 0.00117183
4.8, 0.00110239
5, 0.00271926
5.2, 0.00240866
5.4, 0.00206269
5.6, 0.00135716
5.8, 0.00209879
6, 0.00169155
6.2, 0.000408843
6.4, 0.00273804
6.6, 0.00409557
6.8, 0.00333378
7, 0.0031188
7.2, 0.00454893
7.4, 0.00262248
7.6, 0.00259091
7.8, 0.00422908
8, 0.00393202
8.2, 0.00266644
8.4, 0.00380262
8.6, 0.00377871
8.8, 0.00238884
9, 0.00285931
9.2, 0.00410815
9.4, 0.00353123
9.6, 0.00353812
9.8, 0.00260216
10, 0.00244218
10.2, 0.00313464
10.4, 0.00314108
10.6, 0.00210049
10.8, 0.00357804
11, 0.00357817
11.2, 0.00271701
11.4, 0.00371444
11.6, 0.00456695
11.8, 0.00507035
12, 0.00482117
12.2, 0.00491473
12.4, 0.00314455
12.6, 0.00347945
12.8, 0.00260274
13, 0.00333657
13.2, 0.00361538
13.4, 0.0042078
13.6, 0.00414491
13.8, 0.00411817
14, 0.00316831
14.2, 0.00313723
14.4, 0.00320816
14.6, 0.00336572
14.8, 0.00405037
15, 0.00456441
15.2, 0.00459866
15.4, 0.00515668
15.6, 0.00397663
15.8, 0.00377155
16, 0.00312092
16.2, 0.00280282
16.4, 0.00241697
16.6, 0.00341718
16.8, 0.00357294
17, 0.00388482
17.2, 0.00429446
17.4, 0.00419236
17.6, 0.0033976
17.8, 0.00359885
18, 0.0032297
18.2, 0.00212763
18.4, 0.00208883
18.6, 0.0025959
18.8, 0.000781595
19, 0.000656064
19.2, 0.00190429
19.4, 0.00146046
19.6, 0.00249102
19.8, 0.00494556
20, 0.00552195
20.2, 0.00592419
20.4, 0.00688427
20.6, 0.00581756
20.8, 0.00497706
21, 0.00564786
21.2, 0.00373028
21.4, 0.00418587
21.6, 0.00280658
21.8, 0.00277847
22, 0.00182514
22.2, 0.00295067
22.4, 0.00300246
22.6, 0.00481351
22.8, 0.00451293
23, 0.00400391
23.2, 0.00279768
