Index	Show	Analyze	Ref.	Sample ID	Conc. (uM)	Run time (s)	Shaker speed (rpm)	Integration (ms)	Biosensor Type	Information	Status
1	1	1	0		3.2	790	1000	1.7	SA	fresh 0.5uM $DCP2, 3.2uMSumo-Dcp1A (stock 50uM)	
2	1	0	0		0.1	790	1000	1.6	SA		
3	1	1	0		6.4	790	1000	1.6	SA		
4	1	1	0		0	790	1000	1.6	SA		
5	1	1	0		15	790	1000	1.7	SA		
6	1	1	0		0.8	790	1000	1.7	SA		
7	1	1	0		1.6	790	1000	1.7	SA		
8	1	1	0		0.8	790	1000	1.7	SA		
9	1	1	0		1.6	790	1000	1.7	SA		
10	1	1	0		3.2	790	1000	1.7	SA		
11	1	1	0		6.4	790	1000	1.7	SA		
12	1	1	0		15	790	1000	1.8	SA		
13	1	1	0		1.6	790	1000	1.7	SA		
14	1	1	0		3.2	790	1000	1.7	SA		
