Index	Show	Analyze	Ref.	Sample ID	Conc. (uM)	Run time (s)	Shaker speed (rpm)	Integration (ms)	Biosensor Type	Information	Status
1	1	1	0		1.6	740	1000	2.0	SA		
2	1	1	0		1.6	740	1000	2.1	SA		
3	1	0	0		0.8	740	1000	2.0	SA		
4	1	1	0		0.8	740	1000	2.0	SA		
5	1	0	0		0.8	740	1000	2.0	SA		
6	1	0	0		0.4	740	1000	2.3	SA		
7	1	1	0		0.4	740	1000	2.0	SA		
8	1	0	0		0.4	740	1000	2.3	SA		
9	1	0	0		0.4	740	1000	2.1	SA		
10	1	1	0		0.8	740	1000	2.0	SA		
11	1	0	0		0.8	740	1000	2.1	SA		
12	1	0	0		0.8	740	1000	2.0	SA		
13	1	1	0		0.2	740	1000	2.2	SA		
14	1	1	0		0.2	740	1000	2.0	SA		
15	1	1	0		0.1	740	1000	2.0	SA		
16	1	1	0		0.1	740	1000	2.0	SA		
17	1	0	0		0.8	324	1000	2.2	SA		Terminated by user
18	1	0	0		0.8	440	1000	2.1	SA		Terminated by user
19	1	1	0		0.8	740	1000	2.1	SA		
20	1	1	0		0.4	740	1000	2.1	SA		
