Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.0024778
0.4, -0.00439328
0.6, -0.00606012
0.8, -0.00651106
1, -0.00613642
1.2, -0.00575683
1.4, -0.00455382
1.6, -0.00481596
1.8, -0.00440889
2, -0.00515631
2.2, -0.0047166
2.4, -0.00493235
2.6, -0.00382722
2.8, -0.00245873
3, -0.00346618
3.2, -0.00314801
3.4, -0.00438984
3.6, -0.00502404
3.8, -0.00646677
4, -0.00569403
4.2, -0.00717383
4.4, -0.00615669
4.6, -0.00637513
4.8, -0.00721454
5, -0.00763852
5.2, -0.00788945
5.4, -0.00837977
5.6, -0.00785681
5.8, -0.00647415
6, -0.00627191
6.2, -0.0052343
6.4, -0.00579154
6.6, -0.00651683
6.8, -0.00764171
7, -0.00726824
7.2, -0.00746804
7.4, -0.00632262
7.6, -0.00651205
7.8, -0.00690424
8, -0.00808406
8.2, -0.00707031
8.4, -0.00749059
8.6, -0.00771705
8.8, -0.00723478
9, -0.00737956
9.2, -0.00852318
9.4, -0.0099307
9.6, -0.010003
9.8, -0.0103498
10, -0.00905132
10.2, -0.00763802
10.4, -0.00643072
10.6, -0.00687076
10.8, -0.00615246
11, -0.00611504
11.2, -0.00772251
11.4, -0.00786783
11.6, -0.00607122
11.8, -0.0082643
12, -0.00809213
12.2, -0.00706121
12.4, -0.00680444
12.6, -0.00707303
12.8, -0.00505434
13, -0.00580558
13.2, -0.00715669
13.4, -0.0087857
13.6, -0.00882349
13.8, -0.00866607
14, -0.00806787
14.2, -0.00839278
14.4, -0.00701069
14.6, -0.00676515
14.8, -0.0079324
15, -0.00841669
15.2, -0.00760111
15.4, -0.0071277
15.6, -0.00874318
15.8, -0.00710845
16, -0.00693594
16.2, -0.00789052
16.4, -0.00947576
16.6, -0.00714687
16.8, -0.00854927
17, -0.0086753
17.2, -0.00855592
17.4, -0.00732093
17.6, -0.00756981
17.8, -0.00704073
18, -0.00736199
18.2, -0.00572385
18.4, -0.00627279
18.6, -0.00812669
18.8, -0.00793263
19, -0.00851419
19.2, -0.010116
19.4, -0.00993739
19.6, -0.0100809
19.8, -0.0107019
20, -0.00983017
20.2, -0.0104492
20.4, -0.0104814
20.6, -0.0103015
20.8, -0.0106557
21, -0.0109605
21.2, -0.00977287
21.4, -0.00974
21.6, -0.0104264
21.8, -0.00911233
22, -0.00855475
22.2, -0.00920296
22.4, -0.00966443
22.6, -0.00844267
22.8, -0.010063
23, -0.0110023
23.2, -0.0114427
23.4, -0.0113044
23.6, -0.0120637
23.8, -0.0116198
24, -0.0107558
24.2, -0.0104597
24.4, -0.0096532
24.6, -0.0091604
24.8, -0.00814666
25, -0.00932682
25.2, -0.0100741
25.4, -0.0107296
25.6, -0.011138
25.8, -0.0125043
26, -0.0126169
26.2, -0.0129008
26.4, -0.0121063
26.6, -0.0117559
26.8, -0.0112437
27, -0.0106742
27.2, -0.00968496
27.4, -0.0107857
27.6, -0.011552
27.8, -0.0122175
28, -0.012612
28.2, -0.0131655
28.4, -0.0133738
28.6, -0.0141601
28.8, -0.0141307
29, -0.0143732
29.2, -0.0139115
29.4, -0.0133678
29.6, -0.0122471
29.8, -0.0120733
30, 0.226173, Step 2
30.2, 0.237737
30.4, 0.257683
30.6, 0.250898
30.8, 0.259049
31, 0.26706
31.2, 0.271196
31.4, 0.268501
31.6, 0.27279
31.8, 0.274104
32, 0.274081
32.2, 0.275477
32.4, 0.280203
32.6, 0.282744
32.8, 0.28425
33, 0.286734
33.2, 0.290472
33.4, 0.294839
33.6, 0.295743
33.8, 0.299762
34, 0.304395
34.2, 0.305419
34.4, 0.308872
34.6, 0.311763
34.8, 0.314023
35, 0.315244
35.2, 0.316781
35.4, 0.316735
35.6, 0.319535
35.8, 0.322768
36, 0.326499
36.2, 0.331005
36.4, 0.333566
36.6, 0.336428
36.8, 0.338001
37, 0.339136
37.2, 0.341835
37.4, 0.344914
37.6, 0.346955
37.8, 0.350529
38, 0.353571
38.2, 0.354881
38.4, 0.358789
38.6, 0.361444
38.8, 0.362296
39, 0.3651
39.2, 0.367828
39.4, 0.370387
39.6, 0.373354
39.8, 0.377508
40, 0.380477
40.2, 0.382477
40.4, 0.382788
40.6, 0.385267
40.8, 0.387109
41, 0.386314
41.2, 0.388585
41.4, 0.391707
41.6, 0.392927
41.8, 0.395012
42, 0.40004
42.2, 0.402888
42.4, 0.404669
42.6, 0.407623
42.8, 0.407651
