Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00269565
0.4, -0.00115379
0.6, -0.00216525
0.8, -0.00214662
1, -0.00195278
1.2, -0.000138077
1.4, -0.00110923
1.6, -0.000453196
1.8, 0.00117621
2, 0.00176542
2.2, 0.000680933
2.4, 0.00142003
2.6, 0.00165754
2.8, 0.000301377
3, 0.000113695
3.2, 0.0011931
3.4, 0.0010506
3.6, 0.00250982
3.8, 0.00231069
4, 0.00154323
4.2, 0.000195017
4.4, 0.000917727
4.6, 3.90256e-005
4.8, 0.000791458
5, 0.00138158
5.2, 0.00152836
5.4, 0.000626226
5.6, -0.000706296
5.8, -0.00212392
6, -0.00192222
6.2, -0.0013757
6.4, -0.00242143
6.6, -0.00176344
6.8, -0.000616384
7, -0.00144151
7.2, -0.00197329
7.4, -0.000857364
7.6, -0.000391773
7.8, 2.53192e-005
8, 7.48865e-006
8.2, 0.000679094
8.4, 0.000876557
8.6, 0.000444896
8.8, 0.000166659
9, 0.000758902
9.2, 0.000948782
9.4, 0.000215291
9.6, 0.00102987
9.8, 0.00152297
10, 0.00102897
10.2, 0.000721609
10.4, 0.000372263
10.6, -0.000843227
10.8, -0.00249676
11, -0.00189446
11.2, -0.000713814
11.4, 0.000154963
11.6, 0.000215714
11.8, 0.00101631
12, 0.00139257
12.2, -0.000879744
12.4, -0.000988709
12.6, -0.00125752
12.8, -0.000705454
13, -0.00184405
13.2, -0.00092985
13.4, -0.000444781
13.6, -9.78037e-005
13.8, -0.000159284
14, 0.000107486
14.2, 7.44852e-005
14.4, -0.000607787
14.6, 0.00022866
14.8, -0.00137937
15, -0.00248079
15.2, -0.00280869
15.4, -0.0034339
15.6, -0.00335058
15.8, -0.00268127
16, -0.00176106
16.2, -0.00259793
16.4, -0.00186478
16.6, -0.000326081
16.8, 0.00081334
17, 0.00181617
17.2, 0.00372651
17.4, 0.00365129
17.6, 0.0019678
17.8, 0.0013376
18, 0.000956816
18.2, 0.00185228
18.4, 0.00137195
18.6, 0.000550848
18.8, 0.000952
19, 0.00142563
19.2, -0.000105818
19.4, 0.00022713
19.6, 0.000548312
19.8, 0.000112634
20, -0.000446242
20.2, -0.000495179
20.4, -0.00101822
20.6, -0.000189398
20.8, -0.000581322
21, -0.000300308
21.2, -3.2717e-005
21.4, 0.00162312
21.6, 0.00177637
21.8, 0.00284441
22, 0.00171337
22.2, 0.00114533
22.4, -0.000583827
22.6, -0.00110956
22.8, -0.00165674
23, 3.28455e-005
23.2, 0.000716626
23.4, -0.000294878
23.6, 0.000261782
23.8, 0.000544694
24, 0.000638997
24.2, 0.000188083
24.4, 0.00305787
24.6, 0.00258812
24.8, 0.00221445
25, 0.00221656
25.2, 0.00325264
25.4, 0.00260947
25.6, 0.00166763
25.8, 0.00135222
26, 0.000623936
26.2, -0.00075894
26.4, -0.0011527
26.6, 0.000394845
26.8, -0.000550151
27, -0.000453058
27.2, -1.67851e-005
27.4, 0.000463609
27.6, 0.000611778
27.8, 0.001245
28, 0.00173267
28.2, 0.00182376
28.4, 0.0016118
28.6, -1.24164e-005
28.8, 0.000428526
29, -8.83332e-005
29.2, -0.000305504
29.4, -0.000838369
29.6, 1.25136e-005
29.8, 0.000826495
30, 0.196684, Step 2
30.2, 0.18582
30.4, 0.182462
30.6, 0.181604
30.8, 0.179718
31, 0.175188
31.2, 0.175901
31.4, 0.173511
31.6, 0.171946
31.8, 0.170866
32, 0.169652
32.2, 0.167506
32.4, 0.168546
32.6, 0.168034
32.8, 0.167538
33, 0.169696
33.2, 0.168906
33.4, 0.168455
33.6, 0.169477
33.8, 0.16953
34, 0.167973
34.2, 0.168856
34.4, 0.168933
34.6, 0.16796
34.8, 0.168104
35, 0.169093
35.2, 0.168791
35.4, 0.168018
35.6, 0.168179
35.8, 0.168131
36, 0.166685
36.2, 0.1675
36.4, 0.167958
36.6, 0.169114
36.8, 0.167641
37, 0.168913
37.2, 0.168644
37.4, 0.168206
37.6, 0.167388
37.8, 0.169304
38, 0.170024
38.2, 0.169333
38.4, 0.169634
38.6, 0.169638
38.8, 0.168127
39, 0.166206
39.2, 0.166607
39.4, 0.166323
39.6, 0.165541
39.8, 0.166522
40, 0.166586
40.2, 0.166353
40.4, 0.16672
40.6, 0.167197
40.8, 0.167554
41, 0.167409
41.2, 0.167689
41.4, 0.167337
41.6, 0.167843
41.8, 0.168268
42, 0.169331
42.2, 0.169202
42.4, 0.169562
42.6, 0.169337
42.8, 0.168479
43, 0.167716
43.2, 0.167666
43.4, 0.16805
43.6, 0.167656
43.8, 0.167759
44, 0.167241
44.2, 0.167577
44.4, 0.167914
44.6, 0.167744
44.8, 0.168082
45, 0.169635
45.2, 0.169201
45.4, 0.169249
45.6, 0.17045
45.8, 0.170097
46, 0.169025
46.2, 0.169978
46.4, 0.170699
46.6, 0.169959
46.8, 0.170472
47, 0.170755
47.2, 0.168398
47.4, 0.168893
47.6, 0.170139
47.8, 0.169173
48, 0.168162
48.2, 0.169663
48.4, 0.168353
48.6, 0.168079
48.8, 0.168659
49, 0.16985
49.2, 0.169567
49.4, 0.170778
49.6, 0.169926
49.8, 0.171106
50, 0.171604
50.2, 0.172116
50.4, 0.170711
50.6, 0.170385
50.8, 0.169845
51, 0.168624
51.2, 0.168058
51.4, 0.167668
51.6, 0.167756
51.8, 0.167279
52, 0.168776
52.2, 0.170386
52.4, 0.170974
52.6, 0.172295
52.8, 0.172532
53, 0.171916
53.2, 0.170814
53.4, 0.170737
53.6, 0.170458
53.8, 0.169718
54, 0.169239
54.2, 0.169516
54.4, 0.169282
54.6, 0.168669
54.8, 0.169839
55, 0.170895
55.2, 0.170493
55.4, 0.172053
55.6, 0.171206
55.8, 0.169556
56, 0.169088
56.2, 0.16967
56.4, 0.167738
56.6, 0.169361
56.8, 0.170727
57, 0.171079
57.2, 0.170672
57.4, 0.171972
57.6, 0.171679
57.8, 0.172079
58, 0.171594
58.2, 0.171955
58.4, 0.171399
58.6, 0.170696
58.8, 0.169811
59, 0.170101
59.2, 0.170435
59.4, 0.170649
59.6, 0.170328
59.8, 0.171049
60, 0.170664
60.2, 0.170687
60.4, 0.171634
60.6, 0.172787
60.8, 0.171793
61, 0.172855
