Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00128401
0.4, -0.000589609
0.6, -0.00146517
0.8, -0.00109262
1, -0.000836731
1.2, -0.00103954
1.4, -0.00221371
1.6, -0.00219824
1.8, -0.00307758
2, -0.00266747
2.2, -0.00275519
2.4, -0.00238975
2.6, -0.00342209
2.8, -0.00267003
3, -0.00302097
3.2, -0.00344887
3.4, -0.00266944
3.6, -0.00132401
3.8, -0.000833768
4, -0.00167625
4.2, -0.00121804
4.4, -0.00176806
4.6, -0.00235328
4.8, -0.00331152
5, -0.0033297
5.2, -0.00335276
5.4, -0.00351258
5.6, -0.00387127
5.8, -0.004605
6, -0.00464817
6.2, -0.00474333
6.4, -0.00474574
6.6, -0.00411917
6.8, -0.00446183
7, -0.00403676
7.2, -0.00274431
7.4, -0.00269348
7.6, -0.00352732
7.8, -0.00269628
8, -0.0031273
8.2, -0.00358038
8.4, -0.00372205
8.6, -0.00267453
8.8, -0.00197502
9, -0.0020407
9.2, -0.00268379
9.4, -0.00364938
9.6, -0.00383212
9.8, -0.00536797
10, -0.00529362
10.2, -0.0050142
10.4, -0.00403062
10.6, -0.00362992
10.8, -0.00324118
11, -0.00322789
11.2, -0.00388474
11.4, -0.00371104
11.6, -0.00462458
11.8, -0.00401088
12, -0.00399561
12.2, -0.0035039
12.4, -0.00289419
12.6, -0.00217701
12.8, -0.0033506
13, -0.00402578
13.2, -0.00399943
13.4, -0.00437045
13.6, -0.0046061
13.8, -0.00271611
14, -0.00236796
14.2, -0.00250446
14.4, -0.0022972
14.6, -0.00107423
14.8, -0.00156515
15, 0.00012174
15.2, 0.00055054
15.4, 0.000107525
15.6, -0.000790941
15.8, -0.00130811
16, -0.00221344
16.2, -0.00264835
16.4, -0.00279941
16.6, -0.00333131
16.8, -0.00264238
17, -0.0030756
17.2, -0.00242596
17.4, -0.00210388
17.6, -0.0026289
17.8, -0.00355004
18, -0.00404306
18.2, -0.00422556
18.4, -0.00534367
18.6, -0.00503682
18.8, -0.00350753
19, -0.00215483
19.2, -0.00210991
19.4, -0.000533786
19.6, 0.000503431
19.8, -0.00117353
20, -0.00199719
20.2, -0.001455
20.4, -0.000841364
20.6, -0.00031659
20.8, 0.000473107
21, 0.000448541
21.2, 0.000419218
21.4, -0.000961704
21.6, -0.00202879
21.8, -0.00124464
22, -0.00111099
22.2, -0.00216286
22.4, -0.00145658
22.6, -0.00167871
22.8, -0.0016828
23, -0.00232505
23.2, -0.00274551
23.4, -0.00273409
23.6, -0.00123987
23.8, -0.00165444
24, -0.000450199
24.2, 0.00113151
24.4, 0.000467547
24.6, 8.58221e-005
24.8, -0.000204346
25, -0.000956485
25.2, -0.00244535
25.4, -0.00258713
25.6, -0.00262197
25.8, -0.00355809
26, -0.00295021
26.2, -0.00190321
26.4, -0.0013769
26.6, -0.00225036
26.8, -0.00203303
27, -0.00225054
27.2, -0.00202144
27.4, -0.0019353
27.6, -0.00217416
27.8, -0.00215208
28, -0.00236205
28.2, -0.0033268
28.4, -0.00375927
28.6, -0.0032353
28.8, -0.00340049
29, -0.0015535
29.2, -0.00146159
29.4, -0.00188495
29.6, -0.001513
29.8, -9.92997e-005
30, 0.255688, Step 2
30.2, 0.23819
30.4, 0.239185
30.6, 0.231083
30.8, 0.231607
31, 0.227744
31.2, 0.228534
31.4, 0.226023
31.6, 0.230363
31.8, 0.229141
32, 0.228577
32.2, 0.229803
32.4, 0.231784
32.6, 0.231557
32.8, 0.23608
33, 0.237351
33.2, 0.236205
33.4, 0.23824
33.6, 0.239181
33.8, 0.236512
34, 0.238409
34.2, 0.239999
34.4, 0.239788
34.6, 0.241005
34.8, 0.24491
35, 0.242899
35.2, 0.24309
35.4, 0.24602
35.6, 0.244932
35.8, 0.242523
36, 0.247041
36.2, 0.247178
36.4, 0.245516
36.6, 0.247541
36.8, 0.246142
37, 0.245397
37.2, 0.247322
37.4, 0.247843
37.6, 0.246109
37.8, 0.25028
38, 0.247399
38.2, 0.251343
38.4, 0.250362
38.6, 0.251054
38.8, 0.252472
39, 0.255314
39.2, 0.249584
39.4, 0.250459
39.6, 0.25069
39.8, 0.248818
40, 0.247871
40.2, 0.253164
40.4, 0.252568
40.6, 0.252936
40.8, 0.253702
41, 0.254281
41.2, 0.253908
41.4, 0.254904
41.6, 0.255441
41.8, 0.258019
42, 0.257883
42.2, 0.255969
42.4, 0.25779
42.6, 0.259079
42.8, 0.256471
43, 0.256481
43.2, 0.256632
43.4, 0.256256
43.6, 0.255357
43.8, 0.255749
44, 0.257429
44.2, 0.25767
44.4, 0.257589
44.6, 0.258436
44.8, 0.25968
45, 0.257937
45.2, 0.257568
45.4, 0.256638
45.6, 0.257464
45.8, 0.25588
46, 0.258354
46.2, 0.259755
46.4, 0.258714
46.6, 0.259249
46.8, 0.259226
47, 0.257707
47.2, 0.258355
47.4, 0.259773
47.6, 0.260611
47.8, 0.262668
48, 0.263771
48.2, 0.263042
48.4, 0.266234
48.6, 0.26446
48.8, 0.262647
49, 0.265374
49.2, 0.263304
49.4, 0.263287
49.6, 0.263115
49.8, 0.262553
50, 0.25938
50.2, 0.263642
50.4, 0.26338
50.6, 0.262769
50.8, 0.267495
51, 0.269773
51.2, 0.266558
51.4, 0.267012
51.6, 0.266337
51.8, 0.263963
52, 0.264167
52.2, 0.264508
52.4, 0.264254
52.6, 0.265197
52.8, 0.264881
53, 0.264663
53.2, 0.267487
53.4, 0.266654
53.6, 0.266047
53.8, 0.268464
54, 0.267658
54.2, 0.266996
54.4, 0.268703
54.6, 0.268294
54.8, 0.269246
55, 0.268007
55.2, 0.26703
55.4, 0.266512
55.6, 0.265127
55.8, 0.262372
56, 0.266046
56.2, 0.268398
56.4, 0.266765
56.6, 0.269555
56.8, 0.271256
57, 0.268919
57.2, 0.270725
57.4, 0.270321
57.6, 0.270686
57.8, 0.269781
58, 0.269227
58.2, 0.268608
58.4, 0.269332
58.6, 0.267979
58.8, 0.269612
59, 0.271353
59.2, 0.269419
59.4, 0.269057
59.6, 0.270677
59.8, 0.269868
60, 0.269182
60.2, 0.269958
60.4, 0.269312
60.6, 0.270974
60.8, 0.270667
61, 0.27151
61.2, 0.272501
61.4, 0.274117
