Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00171975
0.4, -0.00142285
0.6, -0.00220208
0.8, -0.00455153
1, -0.00506635
1.2, -0.00434317
1.4, -0.00576261
1.6, -0.00654211
1.8, -0.00565952
2, -0.00531396
2.2, -0.0062714
2.4, -0.00728443
2.6, -0.00574813
2.8, -0.00624944
3, -0.00808263
3.2, -0.00875836
3.4, -0.00918568
3.6, -0.0108506
3.8, -0.00994183
4, -0.00879955
4.2, -0.00861528
4.4, -0.00727409
4.6, -0.00843397
4.8, -0.0100449
5, -0.0102274
5.2, -0.0105766
5.4, -0.0128296
5.6, -0.0120664
5.8, -0.0116571
6, -0.0131796
6.2, -0.0151598
6.4, -0.0141752
6.6, -0.014999
6.8, -0.0155299
7, -0.01731
7.2, -0.0165546
7.4, -0.017371
7.6, -0.0179948
7.8, -0.0187582
8, -0.0168492
8.2, -0.0174034
8.4, -0.0166468
8.6, -0.0162126
8.8, -0.0161094
9, -0.0172127
9.2, -0.0177645
9.4, -0.0181868
9.6, -0.0176034
9.8, -0.0186094
10, -0.0183893
10.2, -0.0187604
10.4, -0.0201022
10.6, -0.0226435
10.8, -0.0228221
11, -0.0238392
11.2, -0.0236885
11.4, -0.0235277
11.6, -0.0223835
11.8, -0.0220258
12, -0.0213457
12.2, -0.0219581
12.4, -0.023075
12.6, -0.0238863
12.8, -0.0242057
13, -0.0248851
13.2, -0.0239983
13.4, -0.0230423
13.6, -0.0235925
13.8, -0.0225134
14, -0.0226031
14.2, -0.0235144
14.4, -0.0227658
14.6, -0.0220495
14.8, -0.023982
15, -0.0249222
15.2, -0.0242202
15.4, -0.0249586
15.6, -0.026622
15.8, -0.0266077
16, -0.0263523
16.2, -0.027789
16.4, -0.0283628
16.6, -0.027502
16.8, -0.0276792
17, -0.0283702
17.2, -0.0290803
17.4, -0.0295284
17.6, -0.0303229
17.8, -0.031376
18, -0.0304492
18.2, -0.0308859
18.4, -0.0318555
18.6, -0.0301764
18.8, -0.0308522
19, -0.0316507
19.2, -0.0307271
19.4, -0.0304834
19.6, -0.0320584
19.8, -0.0298072
20, -0.0298248
20.2, -0.0303
20.4, -0.0298779
20.6, -0.0288832
20.8, -0.0295376
21, -0.0305026
21.2, -0.029734
21.4, -0.030589
21.6, -0.0329263
21.8, -0.0349526
22, -0.0347552
22.2, -0.0357976
22.4, -0.0363339
22.6, -0.035862
22.8, -0.0354934
23, -0.0367193
23.2, -0.0377379
23.4, -0.0374438
23.6, -0.0361886
23.8, -0.0369697
24, -0.0363589
24.2, -0.0357688
24.4, -0.0358667
24.6, -0.036771
24.8, -0.0352777
25, -0.0360531
25.2, -0.0370388
25.4, -0.037048
25.6, -0.0355318
25.8, -0.035471
26, -0.034207
26.2, -0.033084
26.4, -0.0329233
26.6, -0.0344261
26.8, -0.0353881
27, -0.0360854
27.2, -0.0375726
27.4, -0.0370959
27.6, -0.0376555
27.8, -0.0378988
28, -0.0383182
28.2, -0.037613
28.4, -0.0391444
28.6, -0.0397643
28.8, -0.0401664
29, -0.0398456
29.2, -0.0406489
29.4, -0.0407263
29.6, -0.0403739
29.8, -0.0402072
30, 0.265497, Step 2
30.2, 0.354905
30.4, 0.400131
30.6, 0.448234
30.8, 0.468056
31, 0.512293
31.2, 0.534208
31.4, 0.554737
31.6, 0.569891
31.8, 0.585158
32, 0.598032
32.2, 0.609935
32.4, 0.619107
32.6, 0.629293
32.8, 0.639369
33, 0.648675
33.2, 0.657485
33.4, 0.667902
33.6, 0.674974
33.8, 0.684849
34, 0.696406
34.2, 0.705554
34.4, 0.714099
34.6, 0.727552
34.8, 0.734864
35, 0.742462
35.2, 0.751732
35.4, 0.760715
35.6, 0.766023
35.8, 0.777288
