Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00455031
0.4, -0.0102345
0.6, -0.0122714
0.8, -0.0148801
1, -0.0171436
1.2, -0.0186967
1.4, -0.0187196
1.6, -0.0202923
1.8, -0.0209687
2, -0.0211967
2.2, -0.0214228
2.4, -0.021837
2.6, -0.0220057
2.8, -0.0215508
3, -0.0219039
3.2, -0.0213495
3.4, -0.0213998
3.6, -0.0211179
3.8, -0.0210207
4, -0.0200534
4.2, -0.0200424
4.4, -0.0196314
4.6, -0.0189879
4.8, -0.0192076
5, -0.0200159
5.2, -0.0193118
5.4, -0.0193568
5.6, -0.0191424
5.8, -0.0192062
6, -0.0183636
6.2, -0.0194682
6.4, -0.0195067
6.6, -0.0200371
6.8, -0.020317
7, -0.0205515
7.2, -0.0205084
7.4, -0.0205007
7.6, -0.0207069
7.8, -0.0202514
8, -0.0213249
8.2, -0.0216774
8.4, -0.0216021
8.6, -0.0213678
8.8, -0.0211319
9, -0.0195102
9.2, -0.019015
9.4, -0.0197973
9.6, -0.0200996
9.8, -0.0200104
10, -0.0212298
10.2, -0.0206652
10.4, -0.0201213
10.6, -0.01928
10.8, -0.0197761
11, -0.0198277
11.2, -0.0191394
11.4, -0.0190606
11.6, -0.0195116
11.8, -0.0190422
12, -0.0184662
12.2, -0.0196852
12.4, -0.0198069
12.6, -0.0193795
12.8, -0.0194803
13, -0.0189172
13.2, -0.0178636
13.4, -0.0175284
13.6, -0.018444
13.8, -0.0182982
14, -0.01852
14.2, -0.0199664
14.4, -0.0202919
14.6, -0.0195378
14.8, -0.0193357
15, -0.0200863
15.2, -0.0192171
15.4, -0.0189646
15.6, -0.0200352
15.8, -0.0207092
16, -0.0200466
16.2, -0.0205904
16.4, -0.0200973
16.6, -0.0196167
16.8, -0.0193245
17, -0.0199391
17.2, -0.019573
17.4, -0.0197657
17.6, -0.019066
17.8, -0.0197939
18, -0.0198059
18.2, -0.0194273
18.4, -0.0197875
18.6, -0.020663
18.8, -0.0191669
19, -0.0185778
19.2, -0.019529
19.4, -0.0198646
19.6, -0.0200563
19.8, -0.0216423
20, -0.0221074
20.2, -0.0212693
20.4, -0.020646
20.6, -0.020136
20.8, -0.0192529
21, -0.0187382
21.2, -0.0190504
21.4, -0.0189133
21.6, -0.0187451
21.8, -0.0198244
22, -0.0197017
22.2, -0.0198511
22.4, -0.0198444
22.6, -0.0198496
22.8, -0.019015
23, -0.0186085
23.2, -0.0185422
23.4, -0.0187805
23.6, -0.0186956
23.8, -0.018902
24, -0.0190511
24.2, -0.018868
24.4, -0.0202385
24.6, -0.0206681
24.8, -0.0203621
25, -0.0214492
25.2, -0.0216398
25.4, -0.0199055
25.6, -0.0196412
25.8, -0.02011
26, -0.0188713
26.2, -0.0185479
26.4, -0.0196652
26.6, -0.0200064
26.8, -0.0188902
27, -0.0197972
27.2, -0.0202411
27.4, -0.0185417
27.6, -0.0185279
27.8, -0.0180009
28, -0.0171138
28.2, -0.0177135
28.4, -0.0188739
28.6, -0.0179782
28.8, -0.0187576
29, -0.0195083
29.2, -0.0185898
29.4, -0.0181014
29.6, -0.0185134
29.8, -0.0189625
30, 0.128624, Step 2
