Time (s), Binding (nm)
0, 0, Step 1
0.2, 8.10336e-005
0.4, -0.000469085
0.6, -0.000659911
0.8, -0.0016222
1, -0.00127566
1.2, -0.00187508
1.4, -0.00203574
1.6, -0.00189436
1.8, -0.00141982
2, -0.0013798
2.2, -0.000873831
2.4, -0.00061629
2.6, -0.000978554
2.8, -0.000763704
3, -0.00148318
3.2, -0.00162562
3.4, -0.00108577
3.6, -7.69518e-006
3.8, 0.000101146
4, 0.000246345
4.2, 0.000289009
4.4, -0.000363002
4.6, -0.00121347
4.8, -0.00217877
5, -0.00255596
5.2, -0.0021792
5.4, -0.0022721
5.6, -0.00245542
5.8, -0.00170604
6, -0.00185992
6.2, -0.00213118
6.4, -0.00214475
6.6, -0.000869582
6.8, -0.000816467
7, 0.000247981
7.2, 0.000280402
7.4, 8.49994e-005
7.6, 0.00112579
7.8, 0.000613866
8, -0.00041758
8.2, -0.00110235
8.4, -0.00176665
8.6, -0.00235682
8.8, -0.00250461
9, -0.00251649
9.2, -0.00127999
9.4, -0.000895274
9.6, -0.000987225
9.8, -0.00105914
10, -0.00147694
10.2, -0.00187617
10.4, -0.00191841
10.6, -0.00176803
10.8, -0.00261644
11, -0.00129466
11.2, -0.00164578
11.4, -0.00148456
11.6, -0.00159526
11.8, -0.00155032
12, -0.00219581
12.2, -0.00272311
12.4, -0.00297681
12.6, -0.00348488
12.8, -0.00226696
13, -0.00285307
13.2, -0.00233572
13.4, -0.00280751
13.6, -0.00315682
13.8, -0.00336298
14, -0.00224094
14.2, -0.00255138
14.4, -0.00184068
14.6, -0.000952143
14.8, -0.00178793
15, -0.00220562
15.2, -0.00257016
15.4, -0.00305277
15.6, -0.00373035
15.8, -0.00274123
16, -0.00225179
16.2, -0.00195199
16.4, -0.00188133
16.6, -0.00209273
16.8, -0.00349206
17, -0.00504325
17.2, -0.00466421
17.4, -0.00441696
17.6, -0.00378573
17.8, -0.00286415
18, -0.00124042
18.2, -0.00188307
18.4, -0.00221123
18.6, -0.00127319
18.8, -0.00137544
19, -0.0019108
19.2, -0.000768042
19.4, -0.000265922
19.6, -0.00133144
19.8, -0.00164106
20, 0.121542, Step 2
20.2, 0.116624
20.4, 0.115547
20.6, 0.111386
20.8, 0.110992
21, 0.108626
21.2, 0.108161
21.4, 0.108426
21.6, 0.108943
21.8, 0.108795
22, 0.109709
22.2, 0.109859
22.4, 0.108305
22.6, 0.108302
22.8, 0.108715
23, 0.107507
23.2, 0.106755
23.4, 0.106429
23.6, 0.10701
23.8, 0.106633
24, 0.107143
24.2, 0.107541
24.4, 0.107387
24.6, 0.105797
24.8, 0.10556
25, 0.104929
25.2, 0.103893
25.4, 0.104719
25.6, 0.105206
25.8, 0.10432
26, 0.104679
26.2, 0.104995
26.4, 0.104046
26.6, 0.104085
26.8, 0.104711
27, 0.104906
27.2, 0.105505
27.4, 0.105599
27.6, 0.104571
27.8, 0.104239
28, 0.104099
28.2, 0.102322
28.4, 0.102656
28.6, 0.103042
28.8, 0.102119
29, 0.102424
29.2, 0.103525
29.4, 0.102758
