Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00140123
0.4, -0.00306611
0.6, -0.0049503
0.8, -0.00726047
1, -0.00926913
1.2, -0.0101161
1.4, -0.0114432
1.6, -0.0120019
1.8, -0.0116242
2, -0.0106074
2.2, -0.0110892
2.4, -0.0100979
2.6, -0.00977161
2.8, -0.0104781
3, -0.0114539
3.2, -0.0119212
3.4, -0.0126775
3.6, -0.0126337
3.8, -0.0128176
4, -0.0128404
4.2, -0.0129496
4.4, -0.0127251
4.6, -0.0138157
4.8, -0.013158
5, -0.0126402
5.2, -0.0120878
5.4, -0.0117665
5.6, -0.0103325
5.8, -0.00994907
6, -0.00902379
6.2, -0.00938161
6.4, -0.00966832
6.6, -0.0095788
6.8, -0.00906795
7, -0.0105268
7.2, -0.00940226
7.4, -0.00928358
7.6, -0.0101719
7.8, -0.00990737
8, -0.00959584
8.2, -0.0101927
8.4, -0.00992138
8.6, -0.0093672
8.8, -0.00967073
9, -0.00960011
9.2, -0.00973548
9.4, -0.00989714
9.6, -0.00913236
9.8, -0.00980412
10, -0.00903525
10.2, -0.00870162
10.4, -0.00785692
10.6, -0.00815901
10.8, -0.00772166
11, -0.00794322
11.2, -0.00713048
11.4, -0.00767338
11.6, -0.00746014
11.8, -0.00747548
12, -0.00789723
12.2, -0.00860092
12.4, -0.00850271
12.6, -0.00889346
12.8, -0.00852217
13, -0.00747567
13.2, -0.00743696
13.4, -0.00790225
13.6, -0.00788708
13.8, -0.00819192
14, -0.00893052
14.2, -0.00898419
14.4, -0.00854105
14.6, -0.00913834
14.8, -0.00880803
15, -0.00893559
15.2, -0.00862609
15.4, -0.00789636
15.6, -0.00688013
15.8, -0.00709133
16, -0.00574988
16.2, -0.00613691
16.4, -0.00637371
16.6, -0.00728909
16.8, -0.00720988
17, -0.0073566
17.2, -0.00635526
17.4, -0.00677588
17.6, -0.00539416
17.8, -0.00550281
18, -0.00592713
18.2, -0.00641718
18.4, -0.0066766
18.6, -0.00712418
18.8, -0.00700888
19, -0.00699554
19.2, -0.00695199
19.4, -0.00637564
19.6, -0.00688651
19.8, -0.007341
20, -0.00743322
20.2, -0.00715355
20.4, -0.00706572
20.6, -0.00650465
20.8, -0.00562092
21, -0.00559319
21.2, -0.00584132
21.4, -0.00539523
21.6, -0.00549084
21.8, -0.0056565
22, -0.00560157
22.2, -0.00554738
22.4, -0.00670346
22.6, -0.0061906
22.8, -0.00640724
23, -0.00705981
23.2, -0.00665143
23.4, -0.00548769
23.6, -0.00598804
23.8, -0.00538676
24, -0.00395651
24.2, -0.0044136
24.4, -0.0050759
24.6, -0.00519088
24.8, -0.00585959
25, -0.00788923
25.2, -0.00700526
25.4, -0.006646
25.6, -0.00632007
25.8, -0.00502558
26, -0.0038086
26.2, -0.00493068
26.4, -0.00521879
26.6, -0.00480711
26.8, -0.0048539
27, -0.00443072
27.2, -0.00340761
27.4, -0.00311651
27.6, -0.00314887
27.8, -0.00332988
28, -0.0029989
28.2, -0.00377397
28.4, -0.00367683
28.6, -0.0040112
28.8, -0.00481358
29, -0.00512848
29.2, -0.00449522
29.4, -0.00482198
29.6, -0.00434107
29.8, -0.00348398
30, 0.0940516, Step 2
30.2, 0.0875086
30.4, 0.0842297
30.6, 0.0826557
30.8, 0.0865146
31, 0.0836367
31.2, 0.0842101
31.4, 0.087126
31.6, 0.0906903
31.8, 0.094807
32, 0.10111
32.2, 0.108526
32.4, 0.114662
32.6, 0.121667
32.8, 0.128875
33, 0.136322
33.2, 0.143699
33.4, 0.151785
33.6, 0.160581
33.8, 0.168752
34, 0.176929
34.2, 0.185232
34.4, 0.194029
34.6, 0.201971
34.8, 0.210502
35, 0.219174
35.2, 0.226745
35.4, 0.233616
35.6, 0.241928
35.8, 0.248881
36, 0.255801
36.2, 0.262967
36.4, 0.270598
36.6, 0.278113
36.8, 0.284685
37, 0.291999
37.2, 0.298312
37.4, 0.305189
37.6, 0.311172
37.8, 0.318209
38, 0.326296
38.2, 0.334382
38.4, 0.340878
38.6, 0.34791
38.8, 0.354583
39, 0.360506
39.2, 0.365474
39.4, 0.37187
39.6, 0.377748
39.8, 0.385153
40, 0.39109
40.2, 0.398621
40.4, 0.404863
40.6, 0.410871
40.8, 0.416186
41, 0.421975
41.2, 0.427132
41.4, 0.432692
41.6, 0.437954
41.8, 0.443809
42, 0.448618
42.2, 0.454776
42.4, 0.460424
42.6, 0.467554
42.8, 0.472536
43, 0.478951
43.2, 0.484294
43.4, 0.489632
43.6, 0.493915
43.8, 0.498842
44, 0.503665
44.2, 0.508118
44.4, 0.512809
